stateabb,year,cinc
JAM,1972,0.00019964608
JAM,1973,0.00020199227
JAM,1974,0.00019353376
JAM,1975,0.000169964
JAM,1976,0.00016629719
JAM,1977,0.00015343497
JAM,1978,0.00015614979
JAM,1979,0.00014898648
JAM,1980,0.00014596641
JAM,1981,0.0001436024
JAM,1982,0.00014457728
JAM,1983,0.00015946628
JAM,1984,0.00014244062
JAM,1985,0.00014979242
JAM,1986,0.00015431532
JAM,1987,0.00014706577
JAM,1988,0.00014868481
JAM,1989,0.00015066592
JAM,1990,0.0001555488
JAM,1991,0.00015110135
JAM,1992,0.00015547356
JAM,1993,0.00015827532
JAM,1994,0.00016775388
JAM,1995,0.00017785968
JAM,1996,0.00018407394
JAM,1997,0.0001936062
JAM,1998,0.00019092781
JAM,1999,0.00019259141
JAM,2000,0.00020245044
JAM,2001,0.00020752242
JAM,2002,0.00020020126
JAM,2003,0.00019093984
JAM,2004,0.00018473102
JAM,2005,0.00017877591
JAM,2006,0.00018319539
JAM,2007,0.00018342497
JAM,2008,0.00017701939
JAM,2009,0.00017207535
JAM,2010,0.00017096711
JAM,2011,0.00017379975
JAM,2012,0.00017147539
JAM,2013,0.00016901536
JAM,2014,0.00016361327
JAM,2015,0.00016574803
JAM,2016,0.00016413997
TRI,1962,0.00091603666
TRI,1963,0.00089916703
TRI,1964,0.00095971138
TRI,1965,0.00095956592
TRI,1966,0.00096004835
TRI,1967,0.0008934958
TRI,1968,0.00085977762
TRI,1969,0.00080787786
TRI,1970,0.00077523757
TRI,1971,0.00069765392
TRI,1972,0.00066298712
TRI,1973,0.00061223342
TRI,1974,0.00056702096
TRI,1975,0.00039928258
TRI,1976,0.00051570858
TRI,1977,0.00044754863
TRI,1978,0.00040086629
TRI,1979,0.00038779568
TRI,1980,0.00040751608
TRI,1981,0.00034805606
TRI,1982,0.0003580644
TRI,1983,0.00026425326
TRI,1984,0.00025037376
TRI,1985,0.00026964725
TRI,1986,0.00026793082
TRI,1987,0.00027585871
TRI,1988,0.00025364046
TRI,1989,0.00023096825
TRI,1990,0.00037942579
TRI,1991,0.00036306353
TRI,1992,0.00041469335
TRI,1993,0.00045068099
TRI,1994,0.00042036251
TRI,1995,0.00042941925
TRI,1996,0.00043497319
TRI,1997,0.00042409243
TRI,1998,0.00049267913
TRI,1999,0.00050021062
TRI,2000,0.00051930733
TRI,2001,0.00052075664
TRI,2002,0.00053944386
TRI,2003,0.00055365846
TRI,2004,0.00051664672
TRI,2005,0.00053040462
TRI,2006,0.00052612787
TRI,2007,0.00052496127
TRI,2008,0.00049220567
TRI,2009,0.00050166313
TRI,2010,0.0004978542
TRI,2011,0.00051040499
TRI,2012,0.00048475221
TRI,2013,0.00053483318
TRI,2014,0.00050085993
TRI,2015,0.00052187545
TRI,2016,0.00047735113
BAR,1966,0.000016009941
BAR,1967,0.000017397486
BAR,1968,0.00002074895
BAR,1969,0.000019275234
BAR,1970,0.000018064386
BAR,1971,0.000018089866
BAR,1972,0.000017584362
BAR,1973,0.000017632516
BAR,1974,0.000016845845
BAR,1975,0.000016698859
BAR,1976,0.000016133628
BAR,1977,0.000016725724
BAR,1978,0.000016335063
BAR,1979,0.000029466775
BAR,1980,0.000025384918
BAR,1981,0.000024691928
BAR,1982,0.000023609862
BAR,1983,0.000023411952
BAR,1984,0.000023660028
BAR,1985,0.000023817838
BAR,1986,0.000023869845
BAR,1987,0.000022929395
BAR,1988,0.000017332195
BAR,1989,0.000017325698
BAR,1990,0.000019554514
BAR,1991,0.000018244396
BAR,1992,0.000016299315
BAR,1993,0.00001722524
BAR,1994,0.000015859467
BAR,1995,0.00001628636
BAR,1996,0.000015821292
BAR,1997,0.000015632113
BAR,1998,0.000012074129
BAR,1999,0.00001198216
BAR,2000,0.000019712494
BAR,2001,0.000019977311
BAR,2002,0.000019621781
BAR,2003,0.000020957063
BAR,2004,0.000020551999
BAR,2005,0.000021043959
BAR,2006,0.000020966199
BAR,2007,0.000020730402
BAR,2008,0.000020364767
BAR,2009,0.000019629546
BAR,2010,0.000019668247
BAR,2011,0.000019809044
BAR,2012,0.000019814328
BAR,2013,0.00001966962
BAR,2014,0.000019411202
BAR,2015,0.000019674753
BAR,2016,0.000020091446
DMA,1978,3.27E-06
DMA,1979,3.04E-06
DMA,1980,3.37E-06
DMA,1981,3.33E-06
DMA,1982,3.35E-06
DMA,1983,3.31E-06
DMA,1984,3.21E-06
DMA,1985,3.16E-06
DMA,1986,2.55E-06
DMA,1987,2.47E-06
DMA,1988,2.44E-06
DMA,1989,2.38E-06
DMA,1990,2.33E-06
DMA,1991,2.31E-06
DMA,1992,2.31E-06
DMA,1993,2.29E-06
DMA,1994,2.30E-06
DMA,1995,2.21E-06
DMA,1996,2.26E-06
DMA,1997,2.16E-06
DMA,1998,2.13E-06
DMA,1999,2.12E-06
DMA,2000,2.09E-06
DMA,2001,2.07E-06
DMA,2002,1.99E-06
DMA,2003,1.97E-06
DMA,2004,1.99E-06
DMA,2005,1.99E-06
DMA,2006,1.96E-06
DMA,2007,1.94E-06
DMA,2008,1.92E-06
DMA,2009,1.91E-06
DMA,2010,1.88E-06
DMA,2011,1.86E-06
DMA,2012,1.86E-06
DMA,2013,1.82E-06
DMA,2014,2.19E-06
DMA,2015,1.81E-06
DMA,2016,1.82E-06
GRN,1974,5.14E-06
GRN,1975,5.13E-06
GRN,1976,5.12E-06
GRN,1977,5.18E-06
GRN,1978,5.19E-06
GRN,1979,5.09E-06
GRN,1980,0.000012557525
GRN,1981,0.000011367781
GRN,1982,0.00001094571
GRN,1983,1.00E-05
GRN,1984,4.09E-06
GRN,1985,3.89E-06
GRN,1986,4.08E-06
GRN,1987,4.01E-06
GRN,1988,3.67E-06
GRN,1989,3.67E-06
GRN,1990,3.57E-06
GRN,1991,3.57E-06
GRN,1992,3.53E-06
GRN,1993,3.51E-06
GRN,1994,2.91E-06
GRN,1995,2.87E-06
GRN,1996,2.84E-06
GRN,1997,2.86E-06
GRN,1998,2.85E-06
GRN,1999,2.83E-06
GRN,2000,2.84E-06
GRN,2001,3.04E-06
GRN,2002,3.00E-06
GRN,2003,2.96E-06
GRN,2004,2.91E-06
GRN,2005,2.89E-06
GRN,2006,2.88E-06
GRN,2007,2.88E-06
GRN,2008,2.86E-06
GRN,2009,2.85E-06
GRN,2010,2.82E-06
GRN,2011,2.78E-06
GRN,2012,2.74E-06
GRN,2013,2.71E-06
GRN,2014,3.23E-06
GRN,2015,2.69E-06
GRN,2016,2.67E-06
SLU,1979,4.77E-06
SLU,1980,4.79E-06
SLU,1981,4.80E-06
SLU,1982,4.83E-06
SLU,1983,4.82E-06
SLU,1984,4.82E-06
SLU,1985,4.86E-06
SLU,1986,4.88E-06
SLU,1987,4.87E-06
SLU,1988,4.92E-06
SLU,1989,4.95E-06
SLU,1990,4.37E-06
SLU,1991,4.43E-06
SLU,1992,4.50E-06
SLU,1993,4.51E-06
SLU,1994,4.52E-06
SLU,1995,4.59E-06
SLU,1996,4.49E-06
SLU,1997,4.51E-06
SLU,1998,4.61E-06
SLU,1999,4.63E-06
SLU,2000,4.65E-06
SLU,2001,4.74E-06
SLU,2002,4.67E-06
SLU,2003,4.67E-06
SLU,2004,4.64E-06
SLU,2005,4.65E-06
SLU,2006,4.67E-06
SLU,2007,4.68E-06
SLU,2008,4.69E-06
SLU,2009,4.71E-06
SLU,2010,4.70E-06
SLU,2011,4.68E-06
SLU,2012,4.66E-06
SLU,2013,4.46E-06
SLU,2014,5.30E-06
SLU,2015,4.39E-06
SLU,2016,4.37E-06
SVG,1979,4.07E-06
SVG,1980,4.11E-06
SVG,1981,4.10E-06
SVG,1982,4.09E-06
SVG,1983,4.10E-06
SVG,1984,4.11E-06
SVG,1985,4.09E-06
SVG,1986,4.10E-06
SVG,1987,4.09E-06
SVG,1988,4.07E-06
SVG,1989,4.21E-06
SVG,1990,4.07E-06
SVG,1991,4.12E-06
SVG,1992,4.18E-06
SVG,1993,4.12E-06
SVG,1994,3.42E-06
SVG,1995,3.41E-06
SVG,1996,3.36E-06
SVG,1997,3.35E-06
SVG,1998,3.31E-06
SVG,1999,3.31E-06
SVG,2000,3.29E-06
SVG,2001,3.14E-06
SVG,2002,3.04E-06
SVG,2003,3.01E-06
SVG,2004,3.00E-06
SVG,2005,2.98E-06
SVG,2006,2.94E-06
SVG,2007,2.91E-06
SVG,2008,2.88E-06
SVG,2009,2.85E-06
SVG,2010,2.80E-06
SVG,2011,2.76E-06
SVG,2012,2.72E-06
SVG,2013,2.67E-06
SVG,2014,3.20E-06
SVG,2015,2.64E-06
SVG,2016,2.61E-06
AAB,1981,2.46E-06
AAB,1982,5.30E-06
AAB,1983,2.88E-06
AAB,1984,2.86E-06
AAB,1985,2.82E-06
AAB,1986,2.79E-06
AAB,1987,2.74E-06
AAB,1988,2.69E-06
AAB,1989,2.67E-06
AAB,1990,2.93E-06
AAB,1991,2.59E-06
AAB,1992,2.59E-06
AAB,1993,2.58E-06
